予土線(2025予想),,,,,,,,,,,,,,,,,,
,4810D,4811D,4812D,4813D,8814D,4815D,4816D,4817D,4818D,8819D,4820D,4821D,4824D,4825D,4826D,4827D,4828D,4929D
宇和島,546,812,727,1011,934,940,1127,1210,1327,1409,1527,1610,1727,1810,1927,2005,2111,2152
北宇和島,549,809,730,1008,936,937,1129,1208,1330,1406,1530,1607,1729,1807,1930,2002,2113,2149
北宇和島,549,808,730,1008,937,932,1130,1207,1330,1405,1530,1606,1730,1806,1930,2001,2114,2149
伊予宮野下,604,753,745,953,952,917,1144,1152,1346,1350,1545,1551,1744,1751,1945,1947,2129,2134
伊予宮野下,604,750,750,952,952,916,1150,1151,1350,1349,1550,1550,1750,1750,1950,1946,2134,2131
近永,620,733,806,935,1009,900,1206,1133,1406,1332,1607,1533,1806,1734,2005,1930,2150,2115
近永,621,732,,931,1010,,1206,1132,1406,1332,1607,1532,1807,1733,2006,1929,2150,2114
吉野生,634,717,,917,1024,,1220,1118,1421,1318,1620,1518,1821,1719,2023,1916,2204,2100
吉野生,637,715,,916,1024,,1221,1117,1421,1317,1621,1517,1821,1717,2021,1916,2205,2059
江川崎,653,700,,900,1041,,1237,1100,1438,1300,1637,1500,1837,1700,2037,1900,2221,2044
江川崎,656,,,855,1050,,1249,1050,,1259,,,1854,,,1854,,
土佐大正,728,,,825,1122,,1320,1022,,1227,,,1926,,,1824,,
土佐大正,728,,,824,1122,,1320,1022,,1227,,,1927,,,1824,,
窪川,755,,,800,1150,,1351,1000,,1200,,,2000,,,1800,,
,鉄道ホビートレイン,その他,その他,鬼列車など,しまんトロッコ,その他,かっぱうようよ号,鉄道ホビートレイン,鬼列車など,しまんトロッコ,その他,鬼列車など,鬼列車など,その他,鉄道ホビートレイン,かっぱうようよ号,その他,鉄道ホビートレイン
